clean,corrupted,start_year
The practice lasted from the year 1513 to the year 15,The practice lasted from the year 1501 to the year 15,13
The test lasted from the year 1573 to the year 15,The test lasted from the year 1501 to the year 15,73
The project lasted from the year 1331 to the year 13,The project lasted from the year 1301 to the year 13,31
The testing lasted from the year 1582 to the year 15,The testing lasted from the year 1501 to the year 15,82
The testing lasted from the year 1583 to the year 15,The testing lasted from the year 1501 to the year 15,83
The existence lasted from the year 1226 to the year 12,The existence lasted from the year 1201 to the year 12,26
The growth lasted from the year 1483 to the year 14,The growth lasted from the year 1401 to the year 14,83
The process lasted from the year 1551 to the year 15,The process lasted from the year 1501 to the year 15,51
The trip lasted from the year 1767 to the year 17,The trip lasted from the year 1701 to the year 17,67
The process lasted from the year 1187 to the year 11,The process lasted from the year 1101 to the year 11,87
The quest lasted from the year 1783 to the year 17,The quest lasted from the year 1701 to the year 17,83
The rise lasted from the year 1544 to the year 15,The rise lasted from the year 1501 to the year 15,44
The deal lasted from the year 1553 to the year 15,The deal lasted from the year 1501 to the year 15,53
The testing lasted from the year 1788 to the year 17,The testing lasted from the year 1701 to the year 17,88
The practice lasted from the year 1234 to the year 12,The practice lasted from the year 1201 to the year 12,34
The growth lasted from the year 1552 to the year 15,The growth lasted from the year 1501 to the year 15,52
The work lasted from the year 1638 to the year 16,The work lasted from the year 1601 to the year 16,38
The process lasted from the year 1403 to the year 14,The process lasted from the year 1401 to the year 14,3
The work lasted from the year 1794 to the year 17,The work lasted from the year 1701 to the year 17,94
The process lasted from the year 1695 to the year 16,The process lasted from the year 1601 to the year 16,95
The operation lasted from the year 1384 to the year 13,The operation lasted from the year 1301 to the year 13,84
The contract lasted from the year 1482 to the year 14,The contract lasted from the year 1401 to the year 14,82
The contract lasted from the year 1396 to the year 13,The contract lasted from the year 1301 to the year 13,96
The tests lasted from the year 1632 to the year 16,The tests lasted from the year 1601 to the year 16,32
The practice lasted from the year 1229 to the year 12,The practice lasted from the year 1201 to the year 12,29
The practice lasted from the year 1214 to the year 12,The practice lasted from the year 1201 to the year 12,14
The shift lasted from the year 1526 to the year 15,The shift lasted from the year 1501 to the year 15,26
The riot lasted from the year 1230 to the year 12,The riot lasted from the year 1201 to the year 12,30
The attack lasted from the year 1207 to the year 12,The attack lasted from the year 1201 to the year 12,7
The riot lasted from the year 1184 to the year 11,The riot lasted from the year 1101 to the year 11,84
The development lasted from the year 1671 to the year 16,The development lasted from the year 1601 to the year 16,71
The case lasted from the year 1179 to the year 11,The case lasted from the year 1101 to the year 11,79
The study lasted from the year 1346 to the year 13,The study lasted from the year 1301 to the year 13,46
The employment lasted from the year 1542 to the year 15,The employment lasted from the year 1501 to the year 15,42
The existence lasted from the year 1614 to the year 16,The existence lasted from the year 1601 to the year 16,14
The study lasted from the year 1329 to the year 13,The study lasted from the year 1301 to the year 13,29
The contract lasted from the year 1620 to the year 16,The contract lasted from the year 1601 to the year 16,20
The study lasted from the year 1675 to the year 16,The study lasted from the year 1601 to the year 16,75
The trial lasted from the year 1650 to the year 16,The trial lasted from the year 1601 to the year 16,50
The process lasted from the year 1402 to the year 14,The process lasted from the year 1401 to the year 14,2
The case lasted from the year 1214 to the year 12,The case lasted from the year 1201 to the year 12,14
The trip lasted from the year 1725 to the year 17,The trip lasted from the year 1701 to the year 17,25
The project lasted from the year 1356 to the year 13,The project lasted from the year 1301 to the year 13,56
The program lasted from the year 1667 to the year 16,The program lasted from the year 1601 to the year 16,67
The test lasted from the year 1367 to the year 13,The test lasted from the year 1301 to the year 13,67
The case lasted from the year 1335 to the year 13,The case lasted from the year 1301 to the year 13,35
The case lasted from the year 1446 to the year 14,The case lasted from the year 1401 to the year 14,46
The study lasted from the year 1371 to the year 13,The study lasted from the year 1301 to the year 13,71
The existence lasted from the year 1662 to the year 16,The existence lasted from the year 1601 to the year 16,62
The deal lasted from the year 1751 to the year 17,The deal lasted from the year 1701 to the year 17,51
The test lasted from the year 1588 to the year 15,The test lasted from the year 1501 to the year 15,88
The order lasted from the year 1676 to the year 16,The order lasted from the year 1601 to the year 16,76
The effect lasted from the year 1753 to the year 17,The effect lasted from the year 1701 to the year 17,53
The employment lasted from the year 1756 to the year 17,The employment lasted from the year 1701 to the year 17,56
The deal lasted from the year 1567 to the year 15,The deal lasted from the year 1501 to the year 15,67
The test lasted from the year 1455 to the year 14,The test lasted from the year 1401 to the year 14,55
The plan lasted from the year 1673 to the year 16,The plan lasted from the year 1601 to the year 16,73
The riot lasted from the year 1207 to the year 12,The riot lasted from the year 1201 to the year 12,7
The order lasted from the year 1356 to the year 13,The order lasted from the year 1301 to the year 13,56
The practice lasted from the year 1698 to the year 16,The practice lasted from the year 1601 to the year 16,98
The operation lasted from the year 1676 to the year 16,The operation lasted from the year 1601 to the year 16,76
The project lasted from the year 1578 to the year 15,The project lasted from the year 1501 to the year 15,78
The effect lasted from the year 1581 to the year 15,The effect lasted from the year 1501 to the year 15,81
The trial lasted from the year 1218 to the year 12,The trial lasted from the year 1201 to the year 12,18
The attack lasted from the year 1489 to the year 14,The attack lasted from the year 1401 to the year 14,89
The plan lasted from the year 1222 to the year 12,The plan lasted from the year 1201 to the year 12,22
The plan lasted from the year 1234 to the year 12,The plan lasted from the year 1201 to the year 12,34
The program lasted from the year 1459 to the year 14,The program lasted from the year 1401 to the year 14,59
The progress lasted from the year 1483 to the year 14,The progress lasted from the year 1401 to the year 14,83
The process lasted from the year 1315 to the year 13,The process lasted from the year 1301 to the year 13,15
The marriage lasted from the year 1145 to the year 11,The marriage lasted from the year 1101 to the year 11,45
The marriage lasted from the year 1172 to the year 11,The marriage lasted from the year 1101 to the year 11,72
The rule lasted from the year 1607 to the year 16,The rule lasted from the year 1601 to the year 16,7
The work lasted from the year 1605 to the year 16,The work lasted from the year 1601 to the year 16,5
The order lasted from the year 1206 to the year 12,The order lasted from the year 1201 to the year 12,6
The rule lasted from the year 1676 to the year 16,The rule lasted from the year 1601 to the year 16,76
The employment lasted from the year 1339 to the year 13,The employment lasted from the year 1301 to the year 13,39
The riot lasted from the year 1597 to the year 15,The riot lasted from the year 1501 to the year 15,97
The plan lasted from the year 1131 to the year 11,The plan lasted from the year 1101 to the year 11,31
The quest lasted from the year 1175 to the year 11,The quest lasted from the year 1101 to the year 11,75
The marriage lasted from the year 1765 to the year 17,The marriage lasted from the year 1701 to the year 17,65
The attack lasted from the year 1665 to the year 16,The attack lasted from the year 1601 to the year 16,65
The work lasted from the year 1457 to the year 14,The work lasted from the year 1401 to the year 14,57
The practice lasted from the year 1707 to the year 17,The practice lasted from the year 1701 to the year 17,7
The attack lasted from the year 1654 to the year 16,The attack lasted from the year 1601 to the year 16,54
The attack lasted from the year 1761 to the year 17,The attack lasted from the year 1701 to the year 17,61
The tests lasted from the year 1365 to the year 13,The tests lasted from the year 1301 to the year 13,65
The contract lasted from the year 1380 to the year 13,The contract lasted from the year 1301 to the year 13,80
The plan lasted from the year 1628 to the year 16,The plan lasted from the year 1601 to the year 16,28
The campaign lasted from the year 1530 to the year 15,The campaign lasted from the year 1501 to the year 15,30
The existence lasted from the year 1725 to the year 17,The existence lasted from the year 1701 to the year 17,25
The testing lasted from the year 1518 to the year 15,The testing lasted from the year 1501 to the year 15,18
The operation lasted from the year 1683 to the year 16,The operation lasted from the year 1601 to the year 16,83
The impact lasted from the year 1549 to the year 15,The impact lasted from the year 1501 to the year 15,49
The study lasted from the year 1174 to the year 11,The study lasted from the year 1101 to the year 11,74
The campaign lasted from the year 1454 to the year 14,The campaign lasted from the year 1401 to the year 14,54
The campaign lasted from the year 1639 to the year 16,The campaign lasted from the year 1601 to the year 16,39
The shift lasted from the year 1690 to the year 16,The shift lasted from the year 1601 to the year 16,90
The operation lasted from the year 1676 to the year 16,The operation lasted from the year 1601 to the year 16,76
The attack lasted from the year 1290 to the year 12,The attack lasted from the year 1201 to the year 12,90
The marriage lasted from the year 1735 to the year 17,The marriage lasted from the year 1701 to the year 17,35
The testing lasted from the year 1369 to the year 13,The testing lasted from the year 1301 to the year 13,69
The contract lasted from the year 1591 to the year 15,The contract lasted from the year 1501 to the year 15,91
The contact lasted from the year 1589 to the year 15,The contact lasted from the year 1501 to the year 15,89
The contract lasted from the year 1726 to the year 17,The contract lasted from the year 1701 to the year 17,26
The case lasted from the year 1596 to the year 15,The case lasted from the year 1501 to the year 15,96
The operation lasted from the year 1205 to the year 12,The operation lasted from the year 1201 to the year 12,5
The effect lasted from the year 1268 to the year 12,The effect lasted from the year 1201 to the year 12,68
The testing lasted from the year 1520 to the year 15,The testing lasted from the year 1501 to the year 15,20
The program lasted from the year 1279 to the year 12,The program lasted from the year 1201 to the year 12,79
The progress lasted from the year 1688 to the year 16,The progress lasted from the year 1601 to the year 16,88
The work lasted from the year 1788 to the year 17,The work lasted from the year 1701 to the year 17,88
The project lasted from the year 1495 to the year 14,The project lasted from the year 1401 to the year 14,95
The process lasted from the year 1610 to the year 16,The process lasted from the year 1601 to the year 16,10
The progress lasted from the year 1519 to the year 15,The progress lasted from the year 1501 to the year 15,19
The process lasted from the year 1336 to the year 13,The process lasted from the year 1301 to the year 13,36
The impact lasted from the year 1321 to the year 13,The impact lasted from the year 1301 to the year 13,21
The progress lasted from the year 1720 to the year 17,The progress lasted from the year 1701 to the year 17,20
The development lasted from the year 1422 to the year 14,The development lasted from the year 1401 to the year 14,22
The effect lasted from the year 1781 to the year 17,The effect lasted from the year 1701 to the year 17,81
The attack lasted from the year 1394 to the year 13,The attack lasted from the year 1301 to the year 13,94
The existence lasted from the year 1766 to the year 17,The existence lasted from the year 1701 to the year 17,66
The program lasted from the year 1344 to the year 13,The program lasted from the year 1301 to the year 13,44
The growth lasted from the year 1658 to the year 16,The growth lasted from the year 1601 to the year 16,58
The operation lasted from the year 1454 to the year 14,The operation lasted from the year 1401 to the year 14,54
The operation lasted from the year 1734 to the year 17,The operation lasted from the year 1701 to the year 17,34
The testing lasted from the year 1135 to the year 11,The testing lasted from the year 1101 to the year 11,35
The process lasted from the year 1471 to the year 14,The process lasted from the year 1401 to the year 14,71
The tests lasted from the year 1439 to the year 14,The tests lasted from the year 1401 to the year 14,39
The rise lasted from the year 1486 to the year 14,The rise lasted from the year 1401 to the year 14,86
The development lasted from the year 1184 to the year 11,The development lasted from the year 1101 to the year 11,84
The growth lasted from the year 1441 to the year 14,The growth lasted from the year 1401 to the year 14,41
The contact lasted from the year 1646 to the year 16,The contact lasted from the year 1601 to the year 16,46
The order lasted from the year 1171 to the year 11,The order lasted from the year 1101 to the year 11,71
The study lasted from the year 1569 to the year 15,The study lasted from the year 1501 to the year 15,69
The contract lasted from the year 1757 to the year 17,The contract lasted from the year 1701 to the year 17,57
The work lasted from the year 1554 to the year 15,The work lasted from the year 1501 to the year 15,54
The development lasted from the year 1547 to the year 15,The development lasted from the year 1501 to the year 15,47
The rise lasted from the year 1619 to the year 16,The rise lasted from the year 1601 to the year 16,19
The operation lasted from the year 1476 to the year 14,The operation lasted from the year 1401 to the year 14,76
The project lasted from the year 1228 to the year 12,The project lasted from the year 1201 to the year 12,28
The operation lasted from the year 1628 to the year 16,The operation lasted from the year 1601 to the year 16,28
The quest lasted from the year 1566 to the year 15,The quest lasted from the year 1501 to the year 15,66
The employment lasted from the year 1119 to the year 11,The employment lasted from the year 1101 to the year 11,19
The project lasted from the year 1641 to the year 16,The project lasted from the year 1601 to the year 16,41
The rule lasted from the year 1418 to the year 14,The rule lasted from the year 1401 to the year 14,18
The growth lasted from the year 1761 to the year 17,The growth lasted from the year 1701 to the year 17,61
The tests lasted from the year 1450 to the year 14,The tests lasted from the year 1401 to the year 14,50
The contract lasted from the year 1275 to the year 12,The contract lasted from the year 1201 to the year 12,75
The rule lasted from the year 1384 to the year 13,The rule lasted from the year 1301 to the year 13,84
The shift lasted from the year 1277 to the year 12,The shift lasted from the year 1201 to the year 12,77
The contract lasted from the year 1317 to the year 13,The contract lasted from the year 1301 to the year 13,17
The rise lasted from the year 1257 to the year 12,The rise lasted from the year 1201 to the year 12,57
The contract lasted from the year 1612 to the year 16,The contract lasted from the year 1601 to the year 16,12
The growth lasted from the year 1747 to the year 17,The growth lasted from the year 1701 to the year 17,47
The rise lasted from the year 1709 to the year 17,The rise lasted from the year 1701 to the year 17,9
The employment lasted from the year 1628 to the year 16,The employment lasted from the year 1601 to the year 16,28
The growth lasted from the year 1293 to the year 12,The growth lasted from the year 1201 to the year 12,93
The progress lasted from the year 1347 to the year 13,The progress lasted from the year 1301 to the year 13,47
The project lasted from the year 1711 to the year 17,The project lasted from the year 1701 to the year 17,11
The quest lasted from the year 1161 to the year 11,The quest lasted from the year 1101 to the year 11,61
The contact lasted from the year 1340 to the year 13,The contact lasted from the year 1301 to the year 13,40
The process lasted from the year 1634 to the year 16,The process lasted from the year 1601 to the year 16,34
The testing lasted from the year 1448 to the year 14,The testing lasted from the year 1401 to the year 14,48
The effect lasted from the year 1472 to the year 14,The effect lasted from the year 1401 to the year 14,72
The rise lasted from the year 1390 to the year 13,The rise lasted from the year 1301 to the year 13,90
The progress lasted from the year 1386 to the year 13,The progress lasted from the year 1301 to the year 13,86
The program lasted from the year 1647 to the year 16,The program lasted from the year 1601 to the year 16,47
The rise lasted from the year 1615 to the year 16,The rise lasted from the year 1601 to the year 16,15
The operation lasted from the year 1494 to the year 14,The operation lasted from the year 1401 to the year 14,94
The marriage lasted from the year 1132 to the year 11,The marriage lasted from the year 1101 to the year 11,32
The fall lasted from the year 1289 to the year 12,The fall lasted from the year 1201 to the year 12,89
The program lasted from the year 1267 to the year 12,The program lasted from the year 1201 to the year 12,67
The project lasted from the year 1212 to the year 12,The project lasted from the year 1201 to the year 12,12
The employment lasted from the year 1523 to the year 15,The employment lasted from the year 1501 to the year 15,23
The program lasted from the year 1251 to the year 12,The program lasted from the year 1201 to the year 12,51
The attack lasted from the year 1572 to the year 15,The attack lasted from the year 1501 to the year 15,72
The campaign lasted from the year 1423 to the year 14,The campaign lasted from the year 1401 to the year 14,23
The riot lasted from the year 1295 to the year 12,The riot lasted from the year 1201 to the year 12,95
The riot lasted from the year 1216 to the year 12,The riot lasted from the year 1201 to the year 12,16
The testing lasted from the year 1237 to the year 12,The testing lasted from the year 1201 to the year 12,37
The rise lasted from the year 1660 to the year 16,The rise lasted from the year 1601 to the year 16,60
The trip lasted from the year 1269 to the year 12,The trip lasted from the year 1201 to the year 12,69
The work lasted from the year 1723 to the year 17,The work lasted from the year 1701 to the year 17,23
The rule lasted from the year 1545 to the year 15,The rule lasted from the year 1501 to the year 15,45
The employment lasted from the year 1526 to the year 15,The employment lasted from the year 1501 to the year 15,26
The trip lasted from the year 1777 to the year 17,The trip lasted from the year 1701 to the year 17,77
The testing lasted from the year 1558 to the year 15,The testing lasted from the year 1501 to the year 15,58
The shift lasted from the year 1469 to the year 14,The shift lasted from the year 1401 to the year 14,69
The quest lasted from the year 1531 to the year 15,The quest lasted from the year 1501 to the year 15,31
The trial lasted from the year 1569 to the year 15,The trial lasted from the year 1501 to the year 15,69
The marriage lasted from the year 1163 to the year 11,The marriage lasted from the year 1101 to the year 11,63
The riot lasted from the year 1243 to the year 12,The riot lasted from the year 1201 to the year 12,43
The order lasted from the year 1587 to the year 15,The order lasted from the year 1501 to the year 15,87
The order lasted from the year 1144 to the year 11,The order lasted from the year 1101 to the year 11,44
The shift lasted from the year 1549 to the year 15,The shift lasted from the year 1501 to the year 15,49
The plan lasted from the year 1681 to the year 16,The plan lasted from the year 1601 to the year 16,81
The program lasted from the year 1516 to the year 15,The program lasted from the year 1501 to the year 15,16
The rule lasted from the year 1187 to the year 11,The rule lasted from the year 1101 to the year 11,87
The tests lasted from the year 1425 to the year 14,The tests lasted from the year 1401 to the year 14,25
The project lasted from the year 1631 to the year 16,The project lasted from the year 1601 to the year 16,31
The case lasted from the year 1745 to the year 17,The case lasted from the year 1701 to the year 17,45
The plan lasted from the year 1395 to the year 13,The plan lasted from the year 1301 to the year 13,95
The growth lasted from the year 1792 to the year 17,The growth lasted from the year 1701 to the year 17,92
The impact lasted from the year 1167 to the year 11,The impact lasted from the year 1101 to the year 11,67
The operation lasted from the year 1432 to the year 14,The operation lasted from the year 1401 to the year 14,32
The rule lasted from the year 1712 to the year 17,The rule lasted from the year 1701 to the year 17,12
The work lasted from the year 1542 to the year 15,The work lasted from the year 1501 to the year 15,42
The quest lasted from the year 1398 to the year 13,The quest lasted from the year 1301 to the year 13,98
The contact lasted from the year 1406 to the year 14,The contact lasted from the year 1401 to the year 14,6
The shift lasted from the year 1170 to the year 11,The shift lasted from the year 1101 to the year 11,70
The testing lasted from the year 1512 to the year 15,The testing lasted from the year 1501 to the year 15,12
The test lasted from the year 1452 to the year 14,The test lasted from the year 1401 to the year 14,52
The project lasted from the year 1619 to the year 16,The project lasted from the year 1601 to the year 16,19
The operation lasted from the year 1685 to the year 16,The operation lasted from the year 1601 to the year 16,85
The order lasted from the year 1789 to the year 17,The order lasted from the year 1701 to the year 17,89
The plan lasted from the year 1633 to the year 16,The plan lasted from the year 1601 to the year 16,33
The trial lasted from the year 1170 to the year 11,The trial lasted from the year 1101 to the year 11,70
The employment lasted from the year 1746 to the year 17,The employment lasted from the year 1701 to the year 17,46
The program lasted from the year 1657 to the year 16,The program lasted from the year 1601 to the year 16,57
The growth lasted from the year 1326 to the year 13,The growth lasted from the year 1301 to the year 13,26
The progress lasted from the year 1557 to the year 15,The progress lasted from the year 1501 to the year 15,57
The impact lasted from the year 1563 to the year 15,The impact lasted from the year 1501 to the year 15,63
The trip lasted from the year 1771 to the year 17,The trip lasted from the year 1701 to the year 17,71
The work lasted from the year 1629 to the year 16,The work lasted from the year 1601 to the year 16,29
The attack lasted from the year 1418 to the year 14,The attack lasted from the year 1401 to the year 14,18
The testing lasted from the year 1411 to the year 14,The testing lasted from the year 1401 to the year 14,11
The contact lasted from the year 1640 to the year 16,The contact lasted from the year 1601 to the year 16,40
The practice lasted from the year 1358 to the year 13,The practice lasted from the year 1301 to the year 13,58
The quest lasted from the year 1146 to the year 11,The quest lasted from the year 1101 to the year 11,46
The tests lasted from the year 1584 to the year 15,The tests lasted from the year 1501 to the year 15,84
The contract lasted from the year 1656 to the year 16,The contract lasted from the year 1601 to the year 16,56
The shift lasted from the year 1328 to the year 13,The shift lasted from the year 1301 to the year 13,28
The operation lasted from the year 1188 to the year 11,The operation lasted from the year 1101 to the year 11,88
The employment lasted from the year 1665 to the year 16,The employment lasted from the year 1601 to the year 16,65
The study lasted from the year 1160 to the year 11,The study lasted from the year 1101 to the year 11,60
The progress lasted from the year 1348 to the year 13,The progress lasted from the year 1301 to the year 13,48
The impact lasted from the year 1706 to the year 17,The impact lasted from the year 1701 to the year 17,6
The shift lasted from the year 1240 to the year 12,The shift lasted from the year 1201 to the year 12,40
The impact lasted from the year 1797 to the year 17,The impact lasted from the year 1701 to the year 17,97
The growth lasted from the year 1319 to the year 13,The growth lasted from the year 1301 to the year 13,19
The shift lasted from the year 1460 to the year 14,The shift lasted from the year 1401 to the year 14,60
The program lasted from the year 1319 to the year 13,The program lasted from the year 1301 to the year 13,19
The project lasted from the year 1406 to the year 14,The project lasted from the year 1401 to the year 14,6
The growth lasted from the year 1461 to the year 14,The growth lasted from the year 1401 to the year 14,61
The existence lasted from the year 1160 to the year 11,The existence lasted from the year 1101 to the year 11,60
The work lasted from the year 1336 to the year 13,The work lasted from the year 1301 to the year 13,36
The rise lasted from the year 1738 to the year 17,The rise lasted from the year 1701 to the year 17,38
The project lasted from the year 1350 to the year 13,The project lasted from the year 1301 to the year 13,50
The existence lasted from the year 1405 to the year 14,The existence lasted from the year 1401 to the year 14,5
The work lasted from the year 1596 to the year 15,The work lasted from the year 1501 to the year 15,96
The test lasted from the year 1570 to the year 15,The test lasted from the year 1501 to the year 15,70
The campaign lasted from the year 1498 to the year 14,The campaign lasted from the year 1401 to the year 14,98
The tests lasted from the year 1474 to the year 14,The tests lasted from the year 1401 to the year 14,74
The contract lasted from the year 1690 to the year 16,The contract lasted from the year 1601 to the year 16,90
The practice lasted from the year 1137 to the year 11,The practice lasted from the year 1101 to the year 11,37
The attack lasted from the year 1781 to the year 17,The attack lasted from the year 1701 to the year 17,81
The riot lasted from the year 1632 to the year 16,The riot lasted from the year 1601 to the year 16,32
The test lasted from the year 1216 to the year 12,The test lasted from the year 1201 to the year 12,16
The contract lasted from the year 1787 to the year 17,The contract lasted from the year 1701 to the year 17,87
The fall lasted from the year 1208 to the year 12,The fall lasted from the year 1201 to the year 12,8
The testing lasted from the year 1654 to the year 16,The testing lasted from the year 1601 to the year 16,54
The order lasted from the year 1587 to the year 15,The order lasted from the year 1501 to the year 15,87
The progress lasted from the year 1179 to the year 11,The progress lasted from the year 1101 to the year 11,79
